146  ALL-INDIA  RAINFALL (1871-2016),,,,,,,,,,,,,,,,,
30 SUBDIVISIONS AREA 2880324 SQ.KM.,,,,,,,,,,,,,,,,,
"Monthly,Seasonal and Annual rainfall (in 10th of mm) 1871-2016 (1871-2014 based on 306  stations and 2015-2016 based on IMD Subdivisional rainfall)",,,,,,,,,,,,,,,,,
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JF,MAM,JJAS,OND,ANN
1871,196,107,145,339,636,2080,2778,1794,1836,368,324,67,303,1120,8487,758,10670
1872,76,75,73,240,438,1892,2913,2452,1879,785,276,191,151,751,9136,1252,11289
1873,37,135,150,243,428,1130,2645,2142,1656,607,115,90,172,821,7573,812,9378
1874,86,158,107,169,683,2279,3069,2335,2062,932,187,40,244,959,9745,1159,12106
1875,99,114,131,232,506,1926,3079,2187,2105,566,63,71,213,869,9297,700,11078
1876,9,21,160,165,425,1233,2968,1956,1620,464,95,25,30,750,7776,584,9141
1877,291,234,240,353,674,1424,1564,1569,1483,1078,189,365,525,1267,6040,1632,9464
1878,108,91,102,361,665,1304,2940,3393,2124,798,273,140,199,1128,9761,1211,12299
1879,21,107,80,82,877,1900,2241,3221,1616,866,205,71,127,1039,8978,1142,11287
1880,39,165,151,211,496,1876,2717,1768,1840,877,528,111,204,858,8201,1516,10779
1881,13,32,331,237,531,1607,2927,2646,1433,493,347,62,45,1099,8613,902,10658
1882,100,94,90,188,596,2130,3311,1903,1685,739,596,62,194,873,9029,1397,11493
1883,179,36,189,165,621,2043,2690,1879,1881,830,282,155,215,975,8492,1267,10949
1884,71,74,82,203,383,1593,2924,2426,2385,866,270,305,145,668,9328,1441,11582
1885,96,99,136,199,528,1940,2728,2479,1327,737,321,502,195,863,8474,1560,11092
1886,49,12,222,124,711,1977,3159,2218,1390,1320,214,171,61,1057,8744,1705,11567
1887,176,6,148,209,552,1898,3013,2574,1508,879,411,130,182,909,8993,1420,11503
1888,197,136,119,259,531,1323,2743,2800,1250,382,531,72,333,908,8116,985,10342
1889,106,134,66,243,448,2035,2797,2781,1693,940,254,68,240,757,9306,1262,11565
1890,26,11,173,261,358,2279,3009,2141,1626,647,351,136,37,792,9055,1134,11017
1891,115,134,348,207,595,834,2571,2297,2222,602,173,71,249,1150,7924,846,10169
1892,53,106,56,329,541,1579,3139,3063,2135,993,126,70,159,926,9916,1189,12190
1893,224,283,467,252,946,2416,2568,2309,2256,970,642,22,506,1665,9549,1634,13354
1894,115,144,181,248,360,2168,3114,2415,2017,1388,385,137,259,789,9714,1910,12672
1895,109,77,118,376,415,1982,2567,2299,1388,793,134,119,185,908,8236,1046,10377
1896,31,61,68,170,412,2034,2845,2633,773,149,435,175,92,650,8284,759,9786
1897,92,124,208,216,435,1426,2599,2905,1981,856,130,18,215,859,8911,1004,10990
1898,21,307,28,211,375,1717,2929,2208,1992,655,393,125,328,614,8846,1173,10961
1899,58,66,74,522,526,1951,1878,1441,1020,507,41,26,124,1122,6290,574,8109
1900,153,67,103,385,406,1287,2521,2713,2372,490,104,141,220,893,8893,735,10742
1901,274,337,113,316,391,1149,2225,2590,1256,540,431,95,611,820,7220,1066,9717
1902,67,25,102,354,418,1038,2796,1972,2112,697,278,269,92,874,7918,1244,10128
1903,85,55,102,121,562,1269,2789,2593,1957,1288,434,152,140,785,8608,1874,11407
1904,59,86,203,311,686,1795,2476,1970,1262,707,90,99,145,1200,7503,896,9744
1905,128,144,286,271,476,908,2456,2052,1748,610,98,25,272,1033,7164,733,9202
1906,151,385,220,135,328,1818,2875,2418,1738,544,199,264,536,683,8849,1007,11075
1907,63,324,256,523,264,1541,2217,3014,1003,205,238,128,387,1043,7774,571,9775
1908,156,126,68,156,390,1278,3164,2955,1573,424,59,18,282,614,8970,501,10367
1909,162,57,30,605,519,2098,2961,2226,1608,369,101,244,219,1154,8893,714,10980
1910,54,42,79,211,357,2117,2377,2827,2028,1085,379,3,96,647,9349,1467,11559
1911,162,13,241,196,441,1925,1534,2110,1794,725,415,114,175,878,7363,1254,9670
1912,70,187,129,309,362,1058,3206,2579,1215,660,559,25,257,800,8058,1244,10359
1913,12,310,163,204,701,2151,2642,1881,1170,731,179,208,322,1068,7844,1118,10352
1914,12,121,147,345,634,1616,3208,2328,1828,410,206,156,133,1126,8980,772,11010
1915,183,256,390,259,631,1567,2298,2131,1810,887,545,61,439,1280,7806,1493,11017
1916,12,93,33,233,481,1991,2582,2897,2036,1473,508,29,105,747,9506,2010,12368
1917,32,346,146,233,714,2143,2466,2755,2678,1595,316,46,378,1093,10042,1957,13470
1918,106,20,145,186,880,1813,1435,2205,1055,147,472,111,126,1211,6508,730,8575
1919,374,122,115,203,512,1794,2712,2808,1531,707,590,137,496,830,8845,1434,11604
1920,207,87,255,228,454,1426,2916,1628,1220,484,303,5,294,937,7190,792,9213
1921,295,23,110,319,295,1672,2666,2362,1958,663,191,46,318,724,8658,900,10600
1922,228,47,42,169,371,1803,2910,2028,1949,518,648,92,275,582,8690,1258,10804
1923,107,263,158,207,398,936,2970,2604,1720,608,207,139,370,763,8230,954,10317
1924,141,70,54,226,406,1108,2999,2250,2269,617,628,106,211,686,8626,1351,10874
1925,43,24,94,305,806,1871,2858,2133,1174,720,434,176,67,1205,8036,1330,10637
1926,267,50,418,270,518,815,2876,3236,2099,531,109,57,317,1206,9026,697,11246
1927,79,232,163,233,441,1611,3194,2218,1507,613,611,94,311,837,8530,1317,10996
1928,99,282,86,229,409,1541,2834,1982,1320,1238,169,168,381,724,7677,1575,10357
1929,178,152,97,406,458,1828,2870,2212,1301,919,200,264,330,961,8211,1383,10885
1930,88,116,113,249,537,1731,2801,1783,1729,973,593,98,204,899,8044,1664,10811
1931,41,174,97,212,431,1148,2826,2898,1898,1282,464,245,215,740,8770,1991,11716
1932,14,160,113,222,656,1121,3136,2041,1736,703,606,79,174,991,8034,1387,10587
1933,78,202,107,359,1010,2023,2572,3103,2060,913,197,175,280,1476,9758,1285,12799
1934,147,75,88,257,332,2035,2548,2838,1713,693,341,51,222,677,9134,1085,11117
1935,147,105,64,283,205,1402,3047,2218,1768,544,108,90,252,552,8435,742,9981
1936,60,291,182,187,837,2394,2604,2189,1895,702,625,103,351,1206,9082,1430,12069
1937,10,410,119,485,470,1557,3283,1891,1688,947,214,100,420,1074,8419,1261,11174
1938,115,146,154,193,645,2388,2678,2420,1596,783,167,33,261,992,9082,983,11318
1939,73,161,179,288,287,1474,2528,2367,1525,935,333,12,234,753,7894,1280,10162
1940,75,171,341,193,673,1693,2883,2843,1112,722,455,150,246,1207,8531,1327,11311
1941,196,104,70,231,608,1643,2183,2098,1359,681,272,126,300,909,7283,1079,9570
1942,133,274,92,341,425,1738,3225,2808,1806,382,206,222,407,858,9577,810,11651
1943,405,75,113,352,765,1533,2971,2137,2041,985,186,35,480,1230,8682,1206,11598
1944,189,280,506,238,400,1372,3460,2974,1397,954,300,88,469,1144,9203,1342,12158
1945,236,56,47,339,405,1588,3137,2257,2126,829,200,28,292,791,9108,1057,11248
1946,10,111,151,431,527,2075,2822,2767,1372,885,850,316,121,1109,9036,2051,12317
1947,169,109,162,306,395,1227,2909,2960,2357,688,67,194,278,863,9453,949,11542
1948,254,141,118,275,652,1505,2794,2608,1832,659,815,35,395,1045,8739,1509,11688
1949,41,109,53,370,804,1380,2946,2382,2329,997,106,11,150,1227,9037,1114,11527
1950,58,178,224,80,440,1468,3229,2237,1835,520,331,72,235,744,8769,922,10672
1951,59,21,279,362,470,1551,2543,2076,1218,795,339,9,80,1111,7388,1143,9722
1952,22,115,153,273,647,1617,2766,2367,1179,811,63,180,137,1073,7929,1054,10193
1953,192,43,101,273,366,1563,3000,2868,1798,932,137,18,235,740,9229,1087,11291
1954,129,162,118,197,442,1382,2837,2229,2405,798,18,134,291,757,8853,950,10851
1955,156,29,125,284,659,1797,2239,3039,2225,1452,315,106,185,1068,9300,1873,12426
1956,86,72,162,226,870,2079,3415,2538,1800,1525,484,90,158,1258,9832,2099,13347
1957,244,70,260,191,494,1453,2619,2603,1210,597,261,65,314,945,7885,923,10067
1958,70,106,97,282,602,1151,2899,2701,2142,1020,350,49,176,981,8893,1419,11469
1959,203,102,96,228,585,1573,3211,2501,2156,1333,214,43,305,909,9441,1590,12245
1960,89,11,232,130,555,1461,2777,2502,1657,761,391,50,100,917,8397,1202,10616
1961,166,245,163,175,675,1870,3162,2737,2433,1257,186,71,411,1013,10202,1514,13139
1962,91,110,115,346,581,1059,2594,2363,2082,844,152,288,201,1042,8098,1284,10625
1963,73,52,141,321,472,1525,2396,3029,1629,989,229,100,125,933,8579,1318,10956
1964,14,58,83,249,437,1437,3130,2637,2021,734,258,65,72,769,9225,1057,11123
1965,55,92,149,243,346,1104,2669,1894,1427,362,158,221,147,737,7093,741,8719
1966,147,52,51,161,520,1658,2375,1982,1384,580,612,179,199,732,7399,1370,9701
1967,92,27,528,225,333,1414,2924,2574,1689,420,132,496,119,1086,8601,1048,10853
1968,150,121,201,269,316,1365,2886,1947,1348,703,238,70,271,786,7546,1011,9614
1969,40,28,95,242,557,1210,3004,2387,1709,596,439,139,68,894,8310,1174,10446
1970,169,207,184,240,580,2108,2228,2989,2073,762,194,8,376,1004,9398,964,11742
1971,114,103,93,460,702,2194,2493,2588,1593,1052,138,100,217,1255,8868,1290,11630
1972,25,131,48,206,448,1226,1838,2172,1292,633,308,160,156,702,6528,1101,8487
1973,47,119,78,195,488,1412,2787,3075,1860,1259,196,178,165,761,9134,1633,11694
1974,19,39,139,222,606,1059,2736,2282,1403,1066,119,42,58,967,7480,1227,9732
1975,67,96,137,164,406,1801,2901,2647,2278,1217,250,28,163,707,9627,1495,11992
1976,47,81,125,298,367,1419,2882,2786,1481,319,617,40,128,790,8568,976,10462
1977,70,57,84,489,719,1883,3106,2395,1448,893,714,86,127,1292,8832,1693,11944
1978,73,216,195,234,503,1996,2761,2735,1601,551,442,230,289,932,9093,1223,11537
1979,146,273,99,158,405,1434,2258,1990,1395,461,883,120,419,662,7077,1464,9622
1980,44,53,169,246,441,2151,2783,2534,1360,518,242,178,97,856,8828,938,10719
1981,163,73,247,276,583,1387,2889,2263,1983,510,292,128,235,1106,8522,930,10793
1982,167,111,249,366,504,1296,2163,2685,1210,487,504,57,278,1119,7354,1048,9799
1983,73,106,127,354,549,1378,2737,2934,2507,900,122,262,179,1030,9556,1284,12048
1984,161,266,122,279,390,1739,2612,2591,1425,601,132,78,427,791,8367,811,10396
1985,171,69,96,236,439,1404,2534,2185,1475,1138,193,131,240,771,7598,1462,10071
1986,148,281,75,310,435,1776,2384,2135,1135,707,386,169,429,820,7430,1262,9941
1987,113,93,167,216,448,1158,2068,2370,1375,867,542,235,206,831,6971,1644,9652
1988,25,112,188,319,503,1565,3232,2762,2056,502,225,102,137,1010,9615,828,11591
1989,61,38,191,166,426,1835,2862,2311,1658,485,149,121,99,783,8666,755,10303
1990,52,256,237,299,1077,1721,2630,2836,1899,1007,335,88,308,1612,9086,1430,12437
1991,90,75,127,263,506,1858,2607,2431,1265,649,353,146,165,896,8161,1148,10370
1992,55,78,40,130,494,1367,2552,2724,1505,618,446,42,133,664,8148,1105,10051
1993,44,131,174,256,522,1660,2811,1894,2095,902,309,207,175,952,8460,1418,11005
1994,147,147,125,350,398,2033,3341,2706,1495,874,299,40,294,873,9575,1213,11955
1995,271,102,184,173,782,1217,2847,2439,1693,874,348,47,373,1139,8196,1269,10977
1996,123,132,115,242,403,1769,2454,2737,1550,951,129,173,255,760,8510,1253,10778
1997,100,36,144,378,395,1653,2691,2541,1660,714,586,568,136,917,8545,1868,11466
1998,122,125,261,284,417,1440,2597,2441,2114,1179,458,124,247,962,8592,1760,11562
1999,44,93,26,128,914,1677,2499,2027,1875,1268,167,40,137,1068,8078,1475,10757
2000,50,215,74,278,785,1880,2570,2169,1239,453,129,75,265,1137,7858,657,9917
2001,48,63,101,355,608,2203,2680,1899,1163,1156,190,109,111,1064,7944,1455,10575
2002,117,140,127,262,548,1703,1213,2278,1274,651,208,40,257,937,6468,898,8561
2003,42,233,178,231,263,1617,2931,2272,1741,1024,128,120,275,672,8561,1272,10780
2004,138,29,53,425,800,1600,2180,2425,1212,962,168,17,167,1278,7417,1147,10009
2005,184,123,213,339,434,1422,2970,1879,2014,1132,259,122,307,986,8285,1512,11091
2006,11,26,317,254,858,1547,2851,2900,1755,617,334,39,37,1429,9053,990,11509
2007,8,288,142,322,450,1949,2796,2577,2149,582,168,172,296,914,9471,922,11602
2008,111,109,405,216,441,2035,2444,2629,1714,533,313,51,220,1062,8822,897,11001
2009,36,18,98,136,496,899,2688,1952,1481,763,574,132,53,730,7020,1469,9273
2010,63,48,93,293,616,1383,2915,2571,1988,802,713,221,111,1002,8857,1736,11706
2011,24,111,88,334,500,1846,2402,2809,1972,426,217,60,135,922,9029,703,10789
2012,182,25,39,343,252,1127,2520,2576,1828,650,344,57,207,634,8051,1051,9943
2013,47,265,99,273,549,2285,3122,2467,1599,1397,149,39,312,921,9473,1584,12291
2014,133,233,211,134,648,908,2564,2190,1702,618,150,99,366,993,7364,867,9590
2015,152,42,375,540,458,1862,2305,1855,1259,366,443,123,194,1373,7281,932,9780
2016,50,50,139,199,604,1475,2981,2306,1687,521,80,70,100,942,8449,671,10162
