,CMIP5_0.95,CMIP5_0.05,CMIP6_0.95,CMIP6_0.05,MIROC6_0.95,MIROC6_0.05,CORDEX_0.95,CORDEX_0.05,CSIR_0.95,CSIR_0.05,STATIONS,GPCC_V2018,CRU_4.03
1915-12-31,,,,,,,,,,,,,
1916-12-31,,,,,,,,,,,,,
1917-12-31,,,,,,,,,,,,,
1918-12-31,,,,,,,,,,,,,
1919-12-31,,,,,,,,,,,,,
1920-12-31,,,,,,,,,,,,,
1921-12-31,,,,,,,,,,,,,
1922-12-31,,,,,,,,,,,,,
1923-12-31,,,,,,,,,,,,,
1924-12-31,,,,,,,,,,,,,
1925-12-31,,,,,,,,,,,,,
1926-12-31,,,,,,,,,,,,,
1927-12-31,,,,,,,,,,,,,
1928-12-31,,,,,,,,,,,,,
1929-12-31,,,,,,,,,,,,,
1930-12-31,10.9,-1.88,13.72,-0.81,10.24,-1.84,,,,,,-5.39,-0.95
1931-12-31,10.76,-1.99,14.3,-0.57,11.3,-1.68,,,,,,-5.52,-1.08
1932-12-31,10.68,-2.17,14.04,-1.07,12.89,-2.62,,,,,,-5.74,-1.71
1933-12-31,11.89,-1.93,14.64,-1.76,13.41,-2.87,,,,,,-6.46,-2.69
1934-12-31,11.49,-1.47,14.22,-1.57,12.8,-2.65,,,,,,-6.51,-2.9
1935-12-31,10.87,-1.71,14.34,-1.98,11.7,-3.16,,,,,,-6.41,-2.56
1936-12-31,11.38,-1.91,13.28,-2.3,12.68,-3.55,,,,,,-6.83,-3.14
1937-12-31,11.49,-1.99,13.02,-2.45,13.0,-3.56,,,,,,-6.62,-3.67
1938-12-31,11.11,-2.84,12.56,-2.14,13.12,-3.49,,,,,,-5.73,-2.86
1939-12-31,10.63,-1.98,12.27,-2.29,12.86,-4.07,,,,,,-5.72,-3.02
1940-12-31,9.95,-1.24,12.68,-2.73,13.34,-3.92,,,,,,-3.86,-1.3
1941-12-31,10.0,-2.2,13.01,-2.52,13.71,-3.79,,,,,,-3.8,-1.18
1942-12-31,10.1,-2.33,13.21,-2.57,13.15,-3.31,,,,,,-3.11,-0.42
1943-12-31,9.86,-3.24,13.24,-2.81,13.21,-3.67,,,,,,-1.0,1.65
1944-12-31,9.7,-3.85,12.87,-2.56,13.44,-4.12,,,,,,-0.61,1.98
1945-12-31,9.12,-3.72,13.18,-1.98,12.94,-4.57,,,,,,0.3,2.8
1946-12-31,9.94,-2.89,12.69,-2.43,10.33,-4.41,,,,,,0.13,2.73
1947-12-31,9.78,-3.39,12.18,-2.61,10.58,-3.85,,,,,,0.18,2.61
1948-12-31,10.04,-3.95,11.93,-2.32,9.99,-3.44,,,,,-3.14,1.35,3.96
1949-12-31,9.45,-3.25,12.28,-2.0,9.83,-4.22,,,,,-3.21,1.25,3.86
1950-12-31,10.42,-3.11,12.79,-1.86,11.16,-3.81,,,,,-2.81,1.43,4.1
1951-12-31,10.34,-3.58,11.95,-1.29,11.55,-3.87,,,,,-2.93,1.42,4.03
1952-12-31,10.74,-3.57,12.41,-1.63,11.57,-3.97,,,,,-2.88,1.5,3.97
1953-12-31,10.51,-3.87,12.72,-2.42,11.63,-4.97,,,,,-3.13,1.44,3.54
1954-12-31,9.85,-3.59,12.13,-2.67,11.79,-4.98,,,,,-2.33,1.97,4.16
1955-12-31,10.17,-3.39,12.37,-2.21,11.77,-4.53,,,,,-2.65,1.85,3.8
1956-12-31,9.68,-4.14,12.26,-3.12,11.93,-4.84,,,,,-2.58,2.04,4.09
1957-12-31,9.07,-4.25,12.41,-3.22,12.6,-5.42,,,,,-5.33,-0.39,1.59
1958-12-31,8.51,-3.22,12.12,-3.48,10.85,-4.99,,,,,-6.15,-1.56,0.34
1959-12-31,9.1,-3.2,12.72,-3.18,10.41,-5.1,,,,,-6.84,-2.26,-0.49
1960-12-31,8.74,-3.0,12.84,-4.08,11.74,-4.89,,,,,-6.43,-2.05,-0.61
1961-12-31,8.47,-3.14,12.67,-4.32,11.77,-4.71,,,,,-7.37,-2.55,-0.96
1962-12-31,8.02,-3.07,12.29,-3.84,11.9,-5.35,,,,,-6.51,-1.62,-0.06
1963-12-31,7.84,-2.54,11.79,-3.78,11.94,-5.08,,,,,-3.68,0.17,2.04
1964-12-31,7.76,-2.82,10.83,-4.62,11.86,-5.07,,,,,-4.31,-0.6,1.03
1965-12-31,7.83,-2.48,10.56,-4.39,12.25,-4.72,,,,,-3.84,-0.72,0.62
1966-12-31,7.74,-2.69,10.92,-3.99,13.05,-4.59,4.75,-4.35,,,-4.49,-1.03,0.48
1967-12-31,8.73,-2.89,10.86,-3.93,12.02,-4.25,4.25,-4.47,,,-3.91,-2.02,0.29
1968-12-31,8.42,-3.14,10.35,-3.05,11.87,-3.88,4.16,-4.39,,,-4.27,-2.8,-0.49
1969-12-31,7.73,-2.96,10.06,-4.04,11.98,-4.33,4.82,-3.95,,,-4.2,-2.98,-0.87
1970-12-31,6.97,-3.01,9.96,-3.46,10.84,-4.35,4.76,-4.58,,,-5.39,-3.95,-1.67
1971-12-31,7.59,-3.63,9.72,-4.1,10.4,-4.64,3.52,-5.29,,,-5.37,-4.22,-1.93
1972-12-31,7.12,-3.77,9.33,-3.52,10.08,-4.5,4.85,-5.02,,,-5.02,-4.28,-2.05
1973-12-31,6.55,-3.15,9.84,-2.99,10.47,-4.39,5.78,-4.44,,,-6.16,-5.18,-2.73
1974-12-31,6.19,-2.91,9.05,-3.03,9.35,-4.84,4.46,-4.75,,,-5.79,-5.08,-2.55
1975-12-31,6.4,-2.75,8.58,-3.47,9.2,-4.54,4.17,-4.03,8.71,-1.63,-5.63,-4.9,-2.04
1976-12-31,6.11,-3.12,8.73,-3.27,8.31,-5.25,4.79,-3.99,7.67,-2.17,-4.16,-3.84,-0.93
1977-12-31,6.49,-2.87,7.29,-3.05,8.2,-4.89,4.98,-4.43,8.16,-2.25,-3.52,-3.25,-0.42
1978-12-31,6.67,-2.45,7.61,-3.04,8.88,-4.51,4.86,-4.1,7.04,-3.19,-4.3,-4.21,-1.51
1979-12-31,6.25,-2.17,7.57,-3.3,8.03,-4.26,4.07,-3.36,6.24,-4.55,-3.24,-3.17,-0.42
1980-12-31,5.81,-2.72,7.53,-3.12,7.59,-3.76,4.59,-3.56,5.76,-4.58,-3.17,-3.12,-0.47
1981-12-31,5.12,-2.26,7.26,-3.11,7.57,-4.56,5.28,-3.22,6.57,-3.58,-2.89,-2.79,0.17
1982-12-31,4.54,-2.71,6.91,-2.65,7.02,-4.2,4.73,-3.96,7.15,-3.41,-1.2,-1.1,1.97
1983-12-31,4.68,-2.85,5.74,-2.54,6.57,-3.9,4.29,-2.2,6.68,-2.55,-0.86,-1.3,1.94
1984-12-31,4.24,-2.18,5.24,-2.14,6.28,-3.93,4.78,-3.12,6.79,-3.07,-1.47,-1.84,1.59
1985-12-31,3.61,-2.22,4.8,-2.19,5.52,-4.14,5.75,-2.57,5.89,-2.13,-1.17,-1.66,2.29
1986-12-31,3.81,-2.97,4.81,-2.1,4.33,-3.48,4.99,-3.18,5.62,-1.79,-1.32,-2.41,1.12
1987-12-31,3.78,-2.49,4.23,-2.28,4.07,-2.69,3.71,-3.12,4.64,-0.93,0.1,-0.56,2.79
1988-12-31,3.39,-1.82,3.52,-2.0,4.0,-2.87,4.5,-3.52,4.48,-1.71,1.24,0.75,3.64
1989-12-31,3.02,-1.82,3.4,-1.56,3.33,-2.49,4.19,-3.15,3.99,-0.98,1.42,1.02,3.42
1990-12-31,2.77,-1.73,3.33,-1.92,3.56,-2.28,3.63,-2.94,2.58,-0.71,-0.29,-0.18,2.21
1991-12-31,2.73,-1.34,3.37,-2.68,3.1,-1.7,4.28,-2.25,1.94,-0.57,-0.44,-0.26,1.62
1992-12-31,2.67,-1.99,3.42,-2.65,2.5,-2.17,3.75,-2.47,1.88,-1.04,-0.91,-1.28,0.76
1993-12-31,2.04,-1.21,2.81,-1.92,2.28,-2.31,3.16,-2.87,2.46,-1.25,-2.72,-1.85,-0.33
1994-12-31,2.26,-0.87,1.54,-1.59,2.02,-1.63,2.37,-1.83,0.85,-0.95,-1.02,-0.38,0.79
1995-12-31,1.32,-0.63,1.23,-0.93,1.63,-1.14,2.18,-1.34,0.31,-0.44,-0.42,0.29,0.96
1996-12-31,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0
1997-12-31,1.53,-1.02,0.89,-1.2,1.77,-1.26,1.55,-1.17,0.41,-0.71,-1.4,-0.7,-0.7
1998-12-31,1.65,-1.96,1.8,-2.3,3.2,-1.86,2.02,-0.87,0.79,-0.91,-0.82,-0.7,-0.48
1999-12-31,3.04,-2.25,1.34,-3.17,2.22,-2.33,0.85,-1.36,0.43,-1.6,-0.29,-0.42,-0.44
2000-12-31,3.08,-2.78,1.92,-4.46,2.36,-2.63,0.57,-2.44,1.62,-1.75,-0.01,-0.74,-1.04
2001-12-31,3.15,-2.31,2.35,-4.08,2.81,-3.08,0.74,-3.01,1.19,-1.66,-1.43,-1.9,-2.25
2002-12-31,3.0,-2.96,2.02,-4.14,2.75,-3.78,1.31,-2.84,1.59,-2.75,-2.26,-2.46,-3.27
2003-12-31,1.89,-3.81,2.0,-4.17,3.66,-3.69,0.69,-2.96,0.42,-1.93,-4.12,,-5.46
2004-12-31,2.24,-3.96,2.46,-4.52,3.84,-3.95,1.33,-3.73,-0.25,-2.72,-4.17,,-5.82
2005-12-31,2.13,-4.83,2.24,-5.49,3.32,-4.41,1.25,-4.1,0.11,-3.29,,,
2006-12-31,2.13,-4.75,1.92,-5.48,3.56,-4.21,1.01,-4.32,0.95,-3.25,,,
2007-12-31,2.41,-4.82,1.62,-5.12,4.14,-4.15,0.63,-5.11,1.42,-3.86,,,
2008-12-31,3.71,-5.71,1.53,-5.92,4.13,-4.37,0.38,-5.0,1.28,-4.54,,,
2009-12-31,2.87,-6.62,1.29,-6.84,3.48,-4.99,0.73,-5.96,1.53,-3.11,,,
2010-12-31,3.05,-7.33,2.19,-7.19,3.6,-5.02,1.65,-7.36,1.52,-3.35,,,
2011-12-31,3.4,-7.03,1.84,-8.63,3.38,-6.0,1.0,-8.75,1.73,-3.48,,,
2012-12-31,4.11,-7.93,2.35,-9.78,4.19,-6.89,1.67,-9.52,2.44,-3.49,,,
2013-12-31,4.45,-7.96,2.31,-8.33,4.11,-6.98,2.19,-10.56,1.81,-3.13,,,
2014-12-31,6.0,-8.54,2.45,-8.83,4.33,-7.69,1.62,-11.1,2.17,-3.7,,,
2015-12-31,6.14,-8.1,2.24,-8.44,4.59,-8.64,2.49,-10.65,2.28,-4.72,,,
2016-12-31,6.08,-7.66,2.56,-9.15,3.82,-8.57,3.08,-10.37,1.64,-5.37,,,
2017-12-31,5.95,-8.34,2.32,-10.22,4.33,-8.6,4.36,-9.85,1.8,-5.8,,,
2018-12-31,6.2,-8.65,2.16,-10.53,4.66,-8.28,5.26,-10.72,1.49,-6.63,,,
2019-12-31,5.78,-9.27,1.95,-10.76,4.41,-8.91,5.52,-10.78,0.82,-8.09,,,
2020-12-31,5.69,-10.09,1.21,-10.62,3.77,-9.62,4.44,-11.37,0.6,-8.62,,,
2021-12-31,5.27,-10.6,1.18,-10.94,3.8,-9.78,4.79,-12.84,1.08,-8.87,,,
2022-12-31,4.56,-10.79,0.65,-10.57,4.17,-10.0,4.06,-12.07,0.87,-9.0,,,
2023-12-31,4.92,-11.06,1.22,-10.67,4.95,-10.2,3.76,-12.68,-1.52,-10.0,,,
2024-12-31,5.34,-11.4,0.87,-10.07,5.52,-10.21,1.65,-12.94,-1.7,-10.0,,,
2025-12-31,6.62,-11.23,0.37,-10.51,4.71,-10.32,2.37,-14.29,-1.43,-11.24,,,
2026-12-31,6.59,-10.59,0.17,-11.2,5.49,-10.54,1.83,-14.48,-2.13,-12.14,,,
2027-12-31,6.23,-10.98,-0.07,-11.9,4.69,-10.34,1.16,-14.23,-1.68,-12.83,,,
2028-12-31,6.56,-11.68,-0.45,-12.22,4.02,-10.96,1.43,-14.52,-1.24,-13.38,,,
2029-12-31,5.19,-12.13,-0.38,-12.81,3.8,-11.12,2.01,-14.91,-2.07,-14.75,,,
2030-12-31,4.47,-12.99,-1.87,-12.76,3.87,-11.61,1.54,-13.81,-2.54,-16.25,,,
2031-12-31,5.27,-13.9,-2.42,-13.55,4.65,-11.46,1.07,-14.23,-1.89,-16.6,,,
2032-12-31,4.27,-13.25,-1.86,-14.33,4.42,-11.17,1.24,-15.04,-2.52,-16.71,,,
2033-12-31,3.24,-13.73,-1.92,-13.85,3.09,-11.78,0.43,-16.37,-3.51,-16.56,,,
2034-12-31,3.13,-14.5,-2.19,-14.02,3.2,-12.31,0.15,-16.49,-3.11,-16.18,,,
2035-12-31,3.47,-15.29,-2.24,-14.76,3.56,-12.15,0.22,-17.42,-2.27,-16.07,,,
2036-12-31,2.32,-16.36,-1.98,-14.84,3.74,-12.23,0.82,-19.08,-3.27,-17.65,,,
2037-12-31,3.04,-17.43,-2.82,-14.98,3.57,-11.99,0.66,-19.36,-3.11,-18.14,,,
2038-12-31,2.61,-17.46,-2.74,-14.81,2.65,-12.2,0.0,-19.51,-3.92,-17.58,,,
2039-12-31,1.48,-18.26,-2.72,-14.9,1.63,-12.77,-0.25,-20.16,-5.88,-18.55,,,
2040-12-31,0.66,-18.5,-3.29,-15.58,0.81,-12.53,-0.62,-19.92,-7.12,-19.64,,,
2041-12-31,0.01,-18.86,-3.48,-16.61,0.65,-13.07,-0.86,-20.76,-7.57,-20.1,,,
2042-12-31,-0.8,-19.24,-3.46,-16.99,0.3,-13.57,-1.01,-20.95,-8.87,-20.08,,,
2043-12-31,-1.16,-18.96,-4.59,-17.76,1.24,-14.0,-1.61,-20.67,-8.45,-20.53,,,
2044-12-31,-2.25,-19.53,-5.13,-17.97,1.25,-13.89,-1.88,-21.55,-8.31,-21.26,,,
2045-12-31,-1.89,-19.83,-4.76,-18.33,0.17,-13.69,-1.29,-22.03,-8.74,-20.62,,,
2046-12-31,-3.09,-20.57,-5.22,-19.23,0.14,-14.22,-2.26,-22.26,-8.64,-20.81,,,
2047-12-31,-4.18,-20.07,-5.34,-19.01,-0.73,-14.29,-2.4,-21.87,-9.48,-21.25,,,
2048-12-31,-4.26,-20.4,-5.76,-19.09,-0.47,-15.15,-2.77,-22.58,-9.75,-21.16,,,
2049-12-31,-4.18,-20.51,-5.92,-19.38,-0.2,-14.71,-1.1,-24.6,-9.34,-21.24,,,
2050-12-31,-5.23,-21.22,-5.54,-19.09,-0.9,-15.85,-1.69,-24.09,-9.04,-21.53,,,
2051-12-31,-4.95,-21.45,-5.45,-19.78,-1.17,-16.75,-1.26,-23.91,-9.04,-21.31,,,
2052-12-31,-5.13,-21.79,-5.57,-19.63,-2.6,-17.73,-2.13,-25.22,-8.66,-22.01,,,
2053-12-31,-5.25,-22.75,-6.81,-20.44,-3.37,-17.4,-2.7,-25.18,-9.39,-22.25,,,
2054-12-31,-6.08,-23.33,-7.0,-21.96,-3.44,-17.76,-3.36,-26.17,-8.66,-22.54,,,
2055-12-31,-5.5,-23.77,-7.3,-23.44,-2.88,-17.57,-2.6,-26.64,-10.37,-22.04,,,
2056-12-31,-6.22,-24.17,-6.46,-23.1,-3.2,-17.67,-2.24,-27.41,-10.35,-22.72,,,
2057-12-31,-6.75,-24.53,-6.22,-22.97,-3.39,-17.75,-1.74,-28.54,-10.86,-23.24,,,
2058-12-31,-7.35,-24.89,-6.38,-23.96,-4.15,-18.38,-1.77,-29.8,-10.34,-23.4,,,
2059-12-31,-7.54,-25.15,-6.79,-24.23,-4.67,-18.43,-0.46,-29.85,-9.6,-23.81,,,
2060-12-31,-7.51,-26.27,-5.97,-25.3,-5.71,-19.02,-0.4,-31.22,-9.45,-23.88,,,
2061-12-31,-7.44,-25.47,-6.73,-26.0,-6.18,-19.36,-0.17,-31.71,-9.53,-23.57,,,
2062-12-31,-8.21,-26.05,-6.79,-26.82,-6.14,-19.22,-1.23,-32.93,-8.76,-23.07,,,
2063-12-31,-8.68,-26.46,-6.84,-28.25,-5.94,-19.49,-2.74,-33.66,-8.32,-23.25,,,
2064-12-31,-7.97,-26.96,-7.03,-27.35,-6.84,-20.11,-2.71,-34.52,-8.84,-24.11,,,
2065-12-31,-8.63,-28.06,-6.97,-27.36,-7.5,-20.09,-4.37,-33.97,-10.37,-24.89,,,
2066-12-31,-8.94,-28.62,-7.85,-27.85,-7.89,-19.95,-4.64,-33.48,-9.72,-24.1,,,
2067-12-31,-9.24,-27.93,-8.15,-28.17,-8.46,-20.82,-5.46,-33.54,-11.28,-24.12,,,
2068-12-31,-9.2,-28.1,-8.14,-28.72,-8.81,-21.19,-5.23,-34.74,-11.17,-24.92,,,
2069-12-31,-9.53,-28.67,-8.32,-28.84,-8.61,-21.64,-5.85,-35.12,-11.08,-25.7,,,
2070-12-31,-9.71,-29.46,-8.18,-29.41,-8.19,-22.12,-6.34,-34.97,-10.38,-24.59,,,
2071-12-31,-10.53,-30.13,-8.53,-30.39,-9.83,-21.86,-6.92,-35.71,-10.84,-24.53,,,
2072-12-31,-9.75,-31.03,-8.16,-31.45,-8.85,-21.11,-7.01,-36.1,-10.77,-25.14,,,
2073-12-31,-10.57,-31.8,-8.11,-31.63,-9.06,-21.75,-6.39,-37.81,-10.99,-25.11,,,
2074-12-31,-10.82,-32.58,-8.21,-32.28,-9.49,-22.32,-3.73,-38.14,-11.77,-25.1,,,
2075-12-31,-10.79,-32.88,-8.58,-32.32,-10.1,-22.46,-6.03,-39.61,-11.5,-26.17,,,
2076-12-31,-10.47,-33.77,-8.49,-32.52,-9.39,-23.01,-6.37,-39.63,-12.12,-26.52,,,
2077-12-31,-10.85,-33.16,-8.54,-33.61,-9.72,-23.37,-6.17,-41.43,-11.11,-25.77,,,
2078-12-31,-10.88,-34.12,-8.24,-34.05,-10.49,-23.48,-5.9,-42.02,-9.71,-25.95,,,
2079-12-31,-10.38,-34.75,-8.35,-34.58,-11.05,-23.32,-4.99,-41.64,-11.08,-26.14,,,
2080-12-31,-10.87,-35.47,-8.57,-35.22,-11.52,-23.9,-3.64,-42.77,-12.01,-25.98,,,
2081-12-31,-11.41,-35.6,-9.33,-35.71,-10.74,-25.12,-4.29,-43.88,-12.1,-26.34,,,
2082-12-31,-12.25,-35.78,-9.26,-35.96,-11.15,-25.66,-4.73,-43.24,-12.43,-26.42,,,
2083-12-31,-11.76,-35.66,-9.66,-36.41,-11.56,-25.59,-5.94,-43.65,-12.0,-27.0,,,
2084-12-31,-11.84,-36.5,-9.68,-36.97,-11.51,-25.45,-2.15,-43.36,-12.7,-27.73,,,
2085-12-31,-12.56,-36.76,-10.1,-37.53,-12.63,-26.07,-2.78,-43.67,,,,,
2086-12-31,-12.75,-36.68,,,,,-2.33,-43.84,,,,,
2087-12-31,,,,,,,,,,,,,
2088-12-31,,,,,,,,,,,,,
2089-12-31,,,,,,,,,,,,,
2090-12-31,,,,,,,,,,,,,
2091-12-31,,,,,,,,,,,,,
2092-12-31,,,,,,,,,,,,,
2093-12-31,,,,,,,,,,,,,
2094-12-31,,,,,,,,,,,,,
2095-12-31,,,,,,,,,,,,,
2096-12-31,,,,,,,,,,,,,
2097-12-31,,,,,,,,,,,,,
2098-12-31,,,,,,,,,,,,,
2099-12-31,,,,,,,,,,,,,
2100-12-31,,,,,,,,,,,,,
